507,Southampton Test,22,County
508,South Antrim,36,County
509,South Basildon and East Thurrock,17,County
510,South Cambridgeshire,5,County
511,South Derbyshire,11,County
512,South Dorset,13,County
513,South Down,36,County
514,South East Cambridgeshire,5,County
515,South East Cornwall,9,County
516,Southend West,17,County
517,South Holland and The Deepings,30,County
518,South Leicestershire,29,County
519,South Norfolk,33,County
520,South Northamptonshire,35,County
521,Southport,32,County
522,South Ribble,28,County
523,South Shields,49,Borough
524,South Staffordshire,46,County
525,South Suffolk,47,County
526,South Swindon,55,County
527,South Thanet,27,County
528,South West Bedfordshire,2,County
529,South West Devon,12,County
530,South West Hertfordshire,24,County
531,South West Norfolk,33,County
532,South West Surrey,48,County
533,South West Wiltshire,55,County
534,Spelthorne,48,Borough
535,Stafford,46,County
536,Staffordshire Moorlands,46,County
537,St Albans,24,Borough
538,Stalybridge and Hyde,19,County
539,St Austell and Newquay,9,Borough
540,Stevenage,24,Borough
541,St Helens North,32,Borough
542,St Helens South and Whiston,32,Borough
543,Stirling,41,County
544,St Ives,9,Borough
545,Stockport,19,Borough
546,Stockton North,7,Borough
547,Stockton South,7,Borough
548,Stoke-On-Trent Central,46,Borough
549,Stoke-On-Trent North,46,Borough
550,Stoke-On-Trent South,46,Borough
551,Stone,46,County
552,Stourbridge,52,Borough
553,Strangford,36,County
554,Stratford-On-Avon,50,County
555,Streatham,31,Borough
556,Stretford and Urmston,19,Borough
557,Stroud,18,County
558,Suffolk Coastal,47,County
559,Sunderland Central,49,Borough
560,Surrey Heath,48,County
561,Sutton and Cheam,31,Borough
562,Sutton Coldfield,52,Borough
563,Swansea East,51,Borough
564,Swansea West,51,Borough
565,Tamworth,46,County
566,Tatton,6,County
567,Taunton Deane,43,County
568,Telford,42,Borough
569,Tewkesbury,18,County
570,The Cotswolds,18,County
571,The Wrekin,42,County
572,Thirsk and Malton,34,County
573,Thornbury and Yate,1,County
574,Thurrock,17,Borough
575,Tiverton and Honiton,12,County
576,Tonbridge and Malling,27,County
577,Tooting,31,Borough
578,Torbay,12,Borough
579,Torfaen,20,County
580,Torridge and West Devon,12,County
581,Totnes,12,County
582,Tottenham,31,Borough
583,Truro and Falmouth,9,County
584,Tunbridge Wells,27,County
585,Twickenham,31,Borough
586,Tynemouth,49,Borough
587,Upper Bann,36,County
588,Uxbridge and South Ruislip,31,Borough
589,Vale Of Clwyd,8,County
590,Vale Of Glamorgan,44,County
591,Vauxhall,31,Borough
592,Wakefield,54,County
593,Wallasey,32,Borough
594,Walsall North,52,Borough
